;respno;country;country_r5list;countrybyregion;urbrur;region;locationlevel1;locationlevel2;locationlevel3;locationlevel4;locationlevel5;townvill;eanumb;eanumb_ab;uniqueea;ea_svc_a;ea_svc_b;ea_svc_c;ea_svc_d;ea_fac_a;ea_fac_b;ea_fac_c;ea_fac_d;ea_fac_e;ea_fac_f;ea_fac_g;ea_sec_a;ea_sec_b;ea_sec_c;ea_sec_d;ea_sec_e;ea_road_a;ea_road_b;nocall_1;nocall_1other;nocall_2;nocall_2other;nocall_3;nocall_3other;nocall_4;nocall_4other;nocall_5;nocall_5other;nocall_6;nocall_7;prevint;thisint;adult_ct;calls;dateintr;strtime;q1;q2;q2other;q3;q4a;q4b;q5;q6;q7;q8a;q8b;q8c;q8d;q8e;q8f;q9;q10a;q10b;q11a;q11b;q12a;q12b;q12c;q12d;q12e;q13;q14;q15a;q15b;q15c;q16;q17;q18;q19a;q19b;q20a;q20b;q21;q22;q23a;q23b;q23c;q23d;q24a;q24b;q24c;q24d;q24e;q24f;q25a;q25b;q26a;q26b;q26c;q26d;q26e;q26f;q27a;q27b;q27c;q27d;q27e;q28a;q28b;q28c;q28d_arb;q29a;q29b;q29c;q29d;q29e;q29f;q29g;q30;q31;q32;q33;q34;q35;q36;q37;q38;q39;q39_arb_a;q39_arb_b;q39_arb_c;q39_arb_d;q40;q41;q42a;q42b;q42c;q43;q44;q45a;q45b;q45c;q45d;q45e;q46;q47a;q47b;q48a;q48b;q48c;q48d;q48e;q48f;q49;q50;q51a;q51b;q51c;q51d;q52a;q52b;q52c;q52d;q52e;q52f;q52g;q52h;q52i;q52j;q52k;q52l;q53a;q53b;q53c;q53d;q53e;q53f;q53g;q53h;q53i;q53j;q54;q55a;q55b;q55c;q55d;q55e;q55f;q55g;q55h;q55i;q55j;q55k;q55l;q56;q57a;q57b;q58;q58other;q59a;q59b;q60pt1;q60pt1other;q60pt2;q60pt2other;q60pt3;q60pt3other;q61a;q61b;q62;q63a;q63b;q63c;q63d;q64;q65a;q65b;q65c;q66a;q66b;q66c;q66d;q66e;q66f;q66g;q66h;q66i;q66j;q66k;q66l;q66m;q67a;q67b;q68a;q68b;q68c;q68d;q69a;q69b;q69c;q70a;q70b;q71a;q71b;q71bother;q72;q73a;q73b;q73c;q73d;q73e;q74a;q74aother;q74b;q74bother;q75a;q75b;q76;q77;q78;q79a;q79b;q80a;q80aother;q80b;q81a;q81b;q81c;q81d;q81e;q87;q87other;q88a;q88b;q89a;q89b;q89c;q89d;q89e;q90a;q90b;q90bother;q91a;q91b;q91c;q91d;q92a;q92b;q93a;q93b;q94;q95;q96a;q96b;q97;q98a;q98aother;q98b;q99;q99other;q100;endtime;length;q101;q102;q102other;q103;q103other;q104;q105;q106;q107a;q107b;q107c;q107d;q107e;q108;q110a;q110b;q110c;q110d;q110e;q110f;q112;q113;q114;q115;q116;q116other;q116a1;q116a1_other;q117;withinwt;combinwt;r1only;r2only;r3only;r4only;r5only;westafricaonly;eastafricaonly;southernafricaonly;northafricaonly;centralafricaonly;geoname_id;precision_code;place_name;latitude;longitude;location_type_code;geoname_adm_code;geoname_adm_name;location_class;geographic_exactness
46877;TUN0141;33;32;4;1;1581;Raoued;;;;;Jaafer;5;18;200592;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;;9997;;9997;;9997;;9997;;9997;9997;2;1;4;2;18-Apr-15;12:58:00 PM;24;5;;2;2;4;4;5;4;0;0;0;0;0;7;0;4;0;0;0;3;3;0;4;4;1;1;2;3;4;4;1;4;0;0;1;1;3;3;0;0;0;0;0;0;0;0;0;0;7;7;3;3;3;2;3;2;1;1;2;1;0;4;1;1;99;1;Equality between individuals;Independence of the judiciary;Enjoying liberties;6;8;1;3;2;1;4;2;4;1;1;2;1;99;99;99;99;1;3;4;5;2;2;4;2;1;3;2;1;1;2;2;2;1;1;3;3;0;3;1;1;3;3;0;3;2;2;0;1;3;0;0;3;0;3;0;0;1;1;2;2;1;1;1;1;2;2;2;0;7;7;1;0;7;7;7;7;7;7;7;7;7;7;;0;0;1;;24;;23;;1;0;3;1;1;1;1;2;3;5;2;2;2;2;1;2;1;1;1;2;3;1;2;2;2;2;99;99;99;99;0;0;1;4;4;4;0;;0;7;7;7;7;7;16;;2;;2;2;3;3;4;3;3;2;;1;2;4;3;4;4;99;;99;99;3;3;1;3;3;0;9997;;1;1;1;1;4;4;1;1;2;3;11;2;8;18;;1;1580;;8;1:50:00 PM;52;1;4;;5;;1;8;1;0;0;0;0;0;0;1;1;1;2;1;1;TUN19;21;2;2;5;;48;;5;.99272186;.99000001;0;0;0;0;1;0;0;0;1;0;2590247;1;Jaafar;36.91444;10.14333;PPL;6295630|6255146|TN|38|2590247;Earth|Africa|Tunisia|Gouvernorat de l’Ariana|Jaafar;2;1
46878;TUN0142;33;32;4;1;1581;Raoued;;;;;Jaafer;5;18;200592;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;3;;3;;9997;;9997;;9997;;9997;9997;1;2;2;1;18-Apr-15;10:53:00 AM;39;5;;9;1;2;3;3;4;0;0;0;0;0;7;0;4;0;0;0;4;4;0;3;4;3;2;3;4;4;4;1;4;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;7;7;3;1;2;1;3;1;0;1;0;0;0;1;2;1;99;1;Freedom of opinion;Safety;;1;4;9996;2;4;1;1;1;4;3;1;2;5;99;99;99;99;8;1;3;5;5;1;3;0;2;9;2;2;2;1;2;2;9;1;2;3;1;3;2;0;0;3;3;3;2;0;0;0;3;0;2;3;0;9;1;0;9;2;2;1;2;2;9;1;1;4;4;0;3;0;3;0;7;7;7;7;7;7;7;7;7;8;;0;0;33;Prices;13;;14;;2;0;7;2;1;1;1;1;3;1;1;3;1;1;1;1;2;3;3;9;2;2;1;9;1;1;99;99;99;99;0;0;1;1;1;4;1;;0;7;7;7;7;7;16;;9996;;2;3;4;2;4;0;0;8;Germany;1;3;2;5;4;2;99;;99;99;3;3;3;3;3;1;1580;;1;1;1;1;4;4;1;1;5;3;12;2;8;18;;6;1580;;1;11:47:00 AM;54;2;4;;5;;1;8;3;0;0;0;0;0;0;1;1;1;1;1;1;TUN07;24;1;2;5;;48;;7;.99272186;.99000001;0;0;0;0;1;0;0;0;1;0;2590247;1;Jaafar;36.91444;10.14333;PPL;6295630|6255146|TN|38|2590247;Earth|Africa|Tunisia|Gouvernorat de l’Ariana|Jaafar;2;1
46879;TUN0143;33;32;4;1;1581;Raoued;;;;;Jaafer;5;18;200592;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;;1;;3;;3;;6;;9997;9997;2;1;2;1;18-Apr-15;11:34:00 AM;72;5;;2;1;4;4;1;1;0;0;0;0;0;7;0;0;0;0;0;4;4;4;4;4;3;2;3;4;4;1;4;4;0;3;4;4;1;3;0;0;0;0;3;0;3;3;3;3;2;1;3;1;3;1;3;3;0;4;2;0;1;2;2;1;99;1;Pluralism;Acceptance for other persons opinions;Collective governance;3;1;11;2;1;1;1;1;4;3;2;4;1;99;99;99;99;2;3;4;5;5;1;1;3;1;1;0;1;2;1;1;2;1;1;1;1;1;3;1;1;1;3;3;3;2;2;2;1;2;2;2;3;0;2;0;1;1;2;2;2;2;2;1;1;2;1;2;0;2;0;2;0;7;7;7;7;7;7;7;7;7;7;;0;1;23;;14;;3;;3;1;4;1;1;1;1;4;1;4;2;3;2;2;2;1;2;1;1;3;1;2;2;3;3;3;99;99;99;99;2;2;2;2;2;2;7;;0;7;7;7;7;7;16;;6;;3;3;4;4;2;0;0;9995;South Korea;3;3;4;2;6;4;99;;99;99;3;3;1;3;3;1;1580;;1;1;1;1;4;4;1;1;5;1;12;4;8;18;;5;1580;;2;12:40:00 PM;66;1;4;;5;;1;8;1;0;0;0;0;0;0;1;1;1;1;1;1;TUN19;21;2;2;5;;48;;5;.99272186;.99000001;0;0;0;0;1;0;0;0;1;0;2590247;1;Jaafar;36.91444;10.14333;PPL;6295630|6255146|TN|38|2590247;Earth|Africa|Tunisia|Gouvernorat de l’Ariana|Jaafar;2;1
46880;TUN0144;33;32;4;1;1581;Raoued;;;;;Jaafer;5;18;200592;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;;3;;9997;;9997;;9997;;9997;9997;1;2;4;1;18-Apr-15;10:55:00 AM;49;5;;1;2;4;4;2;2;0;0;0;0;0;7;0;2;0;0;0;0;4;0;3;0;3;1;4;4;4;3;4;3;0;0;0;0;1;3;0;0;1;0;0;0;0;0;2;0;1;2;3;2;3;1;3;2;1;1;1;0;1;2;1;2;99;1;Freedom of expression;Human rights;Vote rights;1;1;3;3;4;1;4;1;1;1;1;4;1;99;99;99;99;3;2;5;4;5;1;1;2;2;2;2;2;2;2;1;2;0;1;2;1;0;3;2;0;2;3;1;1;1;2;1;1;0;1;0;1;2;2;1;1;1;1;2;1;2;1;0;1;1;2;2;0;7;7;7;7;7;7;7;7;7;7;7;7;7;7;;1;1;1;;3;;20;;2;0;3;1;1;1;2;2;3;2;2;2;1;2;1;1;2;2;2;2;2;1;2;3;2;1;99;99;99;99;3;0;1;2;3;4;2;;0;7;7;7;7;7;16;;2;;2;3;2;4;2;0;1;2;;3;3;2;2;5;4;99;;99;99;3;3;2;3;4;1;1588;;1;1;1;1;4;3;1;1;5;3;11;4;5;18;;6;1588;;1;12:00:00 PM;65;2;4;;5;;1;8;2;0;0;0;0;0;0;1;1;1;1;1;1;TUN06;24;1;2;5;;48;;5;.99272186;.99000001;0;0;0;0;1;0;0;0;1;0;2590247;1;Jaafar;36.91444;10.14333;PPL;6295630|6255146|TN|38|2590247;Earth|Africa|Tunisia|Gouvernorat de l’Ariana|Jaafar;2;1
46881;TUN0145;33;32;4;1;1581;Raoued;;;;;Raoued;27;19;211736;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;;6;;9997;;9997;;9997;;9997;9997;2;1;3;1;16-Apr-15;3:30:00 PM;46;5;;1;1;2;3;2;2;0;0;0;2;3;4;0;3;0;0;0;0;1;0;0;0;0;0;4;4;4;3;1;1;0;0;2;1;1;4;0;1;1;0;0;1;2;0;2;0;1;2;3;2;2;3;3;3;4;0;1;1;2;1;1;1;99;1;Freedom in general;;;1;9996;9996;3;4;3;4;2;4;3;2;2;2;99;99;99;99;4;4;5;2;5;2;3;3;3;3;1;1;3;1;3;0;1;3;3;3;2;3;1;3;2;3;0;3;1;0;3;0;3;0;0;3;0;0;3;9;3;1;1;1;1;1;1;1;1;1;7;7;4;1;1;0;7;7;7;7;7;7;0;7;7;7;;0;0;3;;24;;13;;3;1;1;2;2;2;2;4;2;4;4;3;1;2;1;1;3;1;2;4;4;3;1;4;2;4;99;99;99;99;0;0;1;4;4;4;1;;0;7;7;7;7;7;14;;2;;2;2;3;3;4;1;9;3;;3;3;2;4;4;1;99;;99;99;3;3;1;1;3;1;1580;;1;1;1;1;4;0;1;1;5;0;7;2;0;18;;0;1580;;10;4:45:00 PM;75;1;4;;5;;1;8;4;1;1;0;0;0;1;1;1;1;1;1;1;TUN18;19;2;2;5;;48;;5;1.0041835;1;0;0;0;0;1;0;0;0;1;0;7870645;3;Raoued;36.931061;10.18013;ADM2;6295630|6255146|TN|38|7870645;Earth|Africa|Tunisia|Gouvernorat de l’Ariana|Raoued;1;1
46882;TUN0146;33;32;4;1;1581;Raoued;;;;;Raoued;27;19;211736;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;3;;1;;3;;3;;7;;6;9997;1;2;2;1;16-Apr-15;3:50:00 PM;31;5;;2;2;4;4;4;4;1;0;0;0;2;4;0;0;2;0;0;3;4;0;0;0;3;0;4;4;4;1;3;4;0;0;1;1;2;3;0;1;1;0;3;0;3;0;0;0;1;2;3;3;3;1;3;2;3;1;1;0;0;2;2;1;99;1;Free elections;Majority rule;Freedom of expression;3;7;1;1;1;1;3;1;1;1;1;4;1;99;99;99;99;3;3;5;5;5;1;1;3;2;0;0;1;2;2;3;1;1;3;2;3;1;0;1;0;2;3;0;2;2;0;2;0;1;1;2;2;3;9;0;0;0;1;1;1;1;1;3;3;3;1;2;0;2;0;3;0;4;2;2;0;4;0;0;7;7;7;;1;0;13;;33;High prices;4;;1;0;7;1;1;1;2;4;2;1;1;3;2;3;1;2;4;1;1;2;2;2;2;3;1;1;99;99;99;99;3;1;1;2;2;5;2;;0;7;7;7;7;7;2;;4;;2;2;4;4;2;1;0;2;;3;3;4;6;5;4;99;;99;99;3;3;1;3;3;0;9997;;1;1;0;1;4;1;1;1;5;2;6;2;4;18;;6;1580;;1;5:03:00 PM;73;2;4;;5;;1;8;3;0;0;0;0;0;0;1;1;1;1;1;1;TUN17;40;2;2;5;;48;;7;1.0041835;1;0;0;0;0;1;0;0;0;1;0;7870645;3;Raoued;36.931061;10.18013;ADM2;6295630|6255146|TN|38|7870645;Earth|Africa|Tunisia|Gouvernorat de l’Ariana|Raoued;1;1
46883;TUN0147;33;32;4;1;1581;Raoued;;;;;Raoued;27;19;211736;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;6;;1;;9997;;9997;;9997;;9997;9997;2;1;2;1;16-Apr-15;5:47:00 PM;30;5;;1;1;4;4;4;9;0;0;0;3;3;5;0;0;0;0;0;0;0;0;0;0;0;0;3;4;4;3;1;1;0;2;4;4;2;1;0;0;0;0;0;0;0;0;0;0;7;7;3;1;3;1;3;3;0;2;0;0;0;5;2;1;99;3;;;;9999;9996;9996;2;4;4;3;2;4;4;2;3;1;99;99;99;99;1;1;4;5;1;1;4;9;9;9;9;9;2;9;0;1;9;9;3;1;2;3;1;0;0;3;0;0;0;0;2;0;0;3;0;3;2;3;3;3;3;3;3;3;0;3;1;1;3;1;7;7;4;3;3;0;2;0;3;0;7;7;0;7;7;6;;9;0;15;;13;;27;;1;0;9;1;1;1;2;2;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;99;99;99;99;3;9;1;9;4;4;1;;0;7;7;7;7;7;17;;9;;3;3;1;4;2;0;0;9995;Italy;1;3;4;5;5;7;99;;99;99;1;3;1;3;3;0;9997;;0;1;0;1;4;1;1;1;4;1;7;1;3;18;;6;9995;Candidate afraid of God;1;7:01:00 PM;74;1;4;;5;;1;8;1;0;0;0;0;0;0;1;1;1;1;1;1;TUN17;40;2;2;5;;48;;7;1.0041835;1;0;0;0;0;1;0;0;0;1;0;7870645;3;Raoued;36.931061;10.18013;ADM2;6295630|6255146|TN|38|7870645;Earth|Africa|Tunisia|Gouvernorat de l’Ariana|Raoued;1;1
46884;TUN0148;33;32;4;1;1581;Raoued;;;;;Raoued;27;19;211736;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;9997;;9997;;9997;;9997;;9997;;9997;9997;1;2;5;1;16-Apr-15;5:15:00 PM;19;5;;1;1;2;2;2;2;0;0;0;0;0;7;0;2;0;0;0;2;4;3;4;4;2;1;4;4;4;4;4;4;0;0;1;1;0;3;0;0;1;0;0;0;0;0;0;0;7;7;2;3;1;2;3;3;1;1;1;0;1;1;1;1;99;1;Freedom but with the condition that it has to be limited;;;1;9996;9996;3;4;1;4;2;3;1;3;4;1;99;99;99;99;3;3;5;5;5;1;2;1;3;9;2;3;2;2;2;1;1;1;9;1;1;2;1;1;2;2;1;2;1;1;1;1;2;0;3;3;3;0;2;1;1;1;1;1;1;1;2;1;1;1;7;7;2;0;4;0;7;7;7;7;7;7;7;7;7;7;;1;1;24;;1;;14;;3;1;1;1;1;1;1;2;3;1;2;2;2;2;1;2;2;3;1;3;2;3;3;3;2;2;99;99;99;99;0;1;2;2;3;4;2;;0;7;7;7;7;7;2;;4;;2;2;2;2;2;2;2;2;;3;2;4;4;3;4;99;;99;99;5;5;1;3;5;0;9997;;1;1;0;1;4;4;1;1;5;0;1;7;5;18;;6;1580;;1;6:17:00 PM;62;2;4;;5;;1;8;4;1;1;0;0;0;0;1;1;1;1;1;1;TUN18;19;2;2;5;;48;;5;1.0041835;1;0;0;0;0;1;0;0;0;1;0;7870645;3;Raoued;36.931061;10.18013;ADM2;6295630|6255146|TN|38|7870645;Earth|Africa|Tunisia|Gouvernorat de l’Ariana|Raoued;1;1
46885;TUN0149;33;32;4;1;1581;Raoued;;;;;Raoued;27;19;211736;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;9997;;9997;;9997;;9997;;9997;;9997;9997;2;1;2;1;20-Apr-15;10:33:00 AM;64;5;;1;1;3;3;2;4;2;4;4;3;4;5;1;3;0;0;0;4;4;2;0;0;2;2;4;4;4;1;3;3;0;0;2;3;1;4;0;0;0;0;0;0;0;0;0;0;7;7;3;1;2;2;2;2;0;0;2;4;0;1;5;4;99;1;Freedom of expression;;;1;9996;9996;3;3;2;3;3;4;3;3;2;3;99;99;99;99;3;3;4;5;4;3;4;3;3;3;0;0;3;1;2;9;2;3;9;2;1;2;1;2;2;3;0;2;2;3;3;0;3;0;2;3;0;0;2;1;3;1;3;1;3;1;0;1;3;1;2;0;7;7;7;7;7;7;7;7;7;7;7;7;7;0;;1;0;4;;20;;14;;3;1;7;1;1;1;1;1;2;1;2;1;2;2;1;2;1;1;1;1;1;1;1;1;2;2;99;99;99;99;0;0;3;4;4;4;0;;0;7;7;7;7;7;0;;9996;;1;2;2;3;4;3;2;2;;3;0;4;4;5;4;99;;99;99;5;3;1;1;4;0;9997;;1;1;0;1;3;0;3;1;2;1;6;2;4;18;;0;1580;;99;12:00:00 PM;87;1;4;;5;;1;8;3;0;0;0;0;0;0;1;1;1;1;2;1;TUN12;23;1;2;5;;48;;5;1.0041835;1;0;0;0;0;1;0;0;0;1;0;7870645;3;Raoued;36.931061;10.18013;ADM2;6295630|6255146|TN|38|7870645;Earth|Africa|Tunisia|Gouvernorat de l’Ariana|Raoued;1;1
46886;TUN0150;33;32;4;1;1581;Raoued;;;;;Raoued;27;19;211736;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;;3;;9997;;9997;;9997;;9997;9997;1;2;3;1;20-Apr-15;12:23:00 PM;51;5;;1;1;1;4;4;4;0;0;0;0;0;7;0;2;1;1;0;4;3;0;4;4;2;1;4;4;4;4;1;4;0;1;1;1;1;3;0;1;0;1;0;0;3;0;0;0;1;2;3;1;3;2;3;3;1;1;4;0;3;1;4;1;99;1;Total freedom;The right to participate in political life;Equality;1;3;6;3;3;1;3;3;1;1;2;2;1;99;99;99;99;2;3;4;5;4;2;1;2;2;2;2;3;2;1;0;0;0;0;2;2;0;3;1;2;3;3;2;2;2;2;1;1;2;2;0;3;2;9;0;0;1;1;1;3;1;0;9;3;3;1;1;0;1;0;2;0;7;7;4;0;1;0;7;7;7;7;;0;0;4;;14;;20;;1;0;0;1;1;1;2;4;1;5;2;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;99;99;99;99;0;3;1;2;4;4;1;;3;0;0;1;0;1;16;;2;;2;2;2;3;4;2;3;2;;1;1;4;4;3;4;99;;99;99;3;3;1;1;4;0;9997;;1;1;0;1;4;4;1;1;5;2;5;1;7;18;;6;9999;;10;1:49:00 PM;86;2;4;;5;;1;8;1;0;0;0;0;0;0;1;1;1;1;1;1;TUN12;23;1;2;5;;48;;5;1.0041835;1;0;0;0;0;1;0;0;0;1;0;7870645;3;Raoued;36.931061;10.18013;ADM2;6295630|6255146|TN|38|7870645;Earth|Africa|Tunisia|Gouvernorat de l’Ariana|Raoued;1;1
46887;TUN0151;33;32;4;1;1581;Raoued;;;;;Raoued;27;19;211736;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;4;;3;;3;;3;;1;;3;9997;2;1;2;1;20-Apr-15;2:37:00 PM;75;5;;1;1;4;3;2;2;0;1;0;0;0;7;2;3;2;0;0;4;4;0;4;3;3;2;3;4;4;4;4;4;3;0;0;3;7;3;0;0;1;0;0;0;0;0;0;0;7;7;3;1;3;1;3;3;1;1;1;0;0;1;1;1;99;1;Equality and justice in life;Accept the majority opinion;To be submitted to elections;6;7;3;3;1;1;3;2;4;1;1;4;1;99;99;99;99;2;2;4;4;5;1;1;2;2;2;1;2;1;1;1;3;0;2;2;1;1;2;1;2;2;2;2;0;1;3;3;0;0;2;0;2;2;0;2;3;9;3;3;3;1;1;3;1;3;1;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;4;;1;0;3;;20;;14;;3;0;4;1;1;1;1;2;3;2;5;2;2;2;2;2;2;2;2;3;2;2;2;2;1;2;99;99;99;99;3;3;3;1;4;4;1;;0;7;7;7;7;7;15;;14;;1;2;4;1;3;3;3;1;;3;3;5;4;3;4;99;;99;99;5;4;1;4;4;0;9997;;1;1;1;1;4;4;1;1;5;0;10;4;1;19;;6;9999;;1;3:44:00 PM;67;1;4;;5;;1;8;1;0;0;0;0;0;1;1;1;1;1;1;1;TUN12;23;1;2;5;;48;;5;1.0041835;1;0;0;0;0;1;0;0;0;1;0;7870645;3;Raoued;36.931061;10.18013;ADM2;6295630|6255146|TN|38|7870645;Earth|Africa|Tunisia|Gouvernorat de l’Ariana|Raoued;1;1
46888;TUN0152;33;32;4;1;1581;Raoued;;;;;Raoued;27;19;211736;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;3;;3;;1;;4;;9997;;9997;9997;1;2;3;1;20-Apr-15;3:50:00 PM;46;5;;1;1;1;3;1;4;2;2;2;2;2;3;0;2;0;0;0;4;4;0;0;0;3;1;4;4;4;4;1;9;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;7;7;3;1;9;2;3;3;0;1;0;0;0;1;4;1;99;1;Full freedom;Improve living conditions;Equality and justice;1;5;6;3;4;1;4;4;4;1;3;3;1;99;99;99;99;4;4;4;4;3;1;1;9;2;2;9;2;3;1;1;3;0;3;9;3;0;2;2;3;0;3;0;3;3;3;3;2;3;1;3;3;3;3;1;9;9;1;9;1;1;1;9;9;1;1;1;0;1;0;1;0;7;7;7;7;7;7;7;7;7;6;;0;0;4;;1;;23;;4;0;6;1;1;1;1;4;3;4;2;3;1;1;1;1;1;2;3;2;2;2;1;3;1;1;99;99;99;99;3;3;3;2;2;4;2;;0;7;7;7;7;7;0;;9996;;2;2;1;9;3;3;3;3;;3;9;5;4;4;5;99;;99;99;3;3;1;1;3;0;9997;;0;1;0;1;3;0;1;1;4;1;2;1;0;18;;0;9999;;99;5:08:00 PM;78;2;4;;5;;1;8;2;0;0;0;0;0;0;1;1;1;1;1;1;TUN12;23;1;2;5;;48;;5;1.0041835;1;0;0;0;0;1;0;0;0;1;0;7870645;3;Raoued;36.931061;10.18013;ADM2;6295630|6255146|TN|38|7870645;Earth|Africa|Tunisia|Gouvernorat de l’Ariana|Raoued;1;1
46889;TUN0153;33;32;4;1;1581;Cité Ettadhame;;;;;09-avr.;13;20;222880;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;1;0;9997;;9997;;9997;;9997;;9997;;9997;9997;2;1;2;1;16-Apr-15;10:20:00 AM;23;5;;1;1;4;4;4;4;0;0;0;0;0;7;0;3;1;3;0;0;4;0;0;0;0;0;4;4;4;1;3;1;0;0;0;0;6;4;0;0;1;0;0;0;0;1;0;0;1;2;3;3;3;3;3;3;0;0;0;0;0;4;4;2;99;3;;;;9999;9996;9996;3;2;2;2;2;4;1;3;2;1;99;99;99;99;3;3;4;4;4;1;1;1;1;9;9;0;3;2;1;3;0;2;2;3;1;0;5;3;3;2;0;3;3;3;3;3;3;3;3;3;3;3;3;0;0;3;1;0;0;0;0;0;1;5;7;7;7;7;7;7;7;7;1;0;7;7;7;7;7;7;;3;3;3;;24;;4;;4;0;7;1;1;1;2;1;3;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;99;99;99;99;0;1;1;9;7;4;2;;0;7;7;7;7;7;19;Fear;9996;;2;2;4;1;1;1;1;3;;1;1;1;5;5;9;99;;99;99;5;5;1;4;4;0;9997;;1;1;0;1;4;4;1;1;5;0;0;7;6;18;;6;1580;;1;11:33:00 AM;73;1;4;;5;;1;8;4;0;0;0;0;0;0;2;3;2;3;3;3;TUN14;21;2;2;5;;48;;6;1.0057812;1.01;0;0;0;0;1;0;0;0;1;0;11109022;3;Délégation de Cité Ettadhamen;36.836418;10.10387;ADM2;6295630|6255146|TN|38|11109022;Earth|Africa|Tunisia|Gouvernorat de l’Ariana|Délégation de Cité Ettadhamen;1;1
46890;TUN0154;33;32;4;1;1581;Cité Ettadhame;;;;;09-avr.;13;20;222880;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;1;0;9997;;9997;;9997;;9997;;9997;;9997;9997;1;2;3;2;16-Apr-15;10:32:00 AM;58;5;;9;1;1;1;3;1;3;3;4;3;3;6;0;3;3;2;0;0;0;0;0;0;9;0;2;2;2;4;1;4;0;0;0;0;1;9;0;0;0;0;0;0;3;0;0;0;2;2;2;2;3;3;2;2;0;0;2;4;0;3;1;1;99;3;;;;9999;9996;9996;3;4;1;4;1;1;1;9;1;3;99;99;99;99;8;9;1;1;1;3;4;9;1;2;9;0;9;0;0;1;9;9;3;1;2;0;1;2;0;0;0;9;9;9;1;0;0;9;0;0;0;0;0;9;9;3;3;3;2;2;3;2;9;1;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;10;;0;0;25;;3;;9995;Religion reform;2;1;1;1;1;1;2;4;4;5;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;99;99;99;99;3;3;3;4;7;5;3;;0;7;7;7;7;7;14;;17;;2;2;1;4;1;0;0;3;;3;3;1;9;5;1;99;;99;99;1;4;1;1;3;0;9997;;1;1;0;1;4;0;1;1;5;0;2;1;2;18;;1;9998;;7;11:35:00 AM;63;2;4;;5;;1;8;1;0;0;0;0;0;0;1;1;1;2;3;3;TUN10;19;1;2;5;;48;;7;1.0057812;1.01;0;0;0;0;1;0;0;0;1;0;11109022;3;Délégation de Cité Ettadhamen;36.836418;10.10387;ADM2;6295630|6255146|TN|38|11109022;Earth|Africa|Tunisia|Gouvernorat de l’Ariana|Délégation de Cité Ettadhamen;1;1
46891;TUN0155;33;32;4;1;1581;Cité Ettadhame;;;;;09-avr.;13;20;222880;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;1;0;1;;1;;1;;1;;2;;2;9997;2;1;2;2;5-May-15;3:20:00 PM;60;5;;2;3;1;3;4;4;0;0;0;0;0;7;9;0;0;0;0;2;4;9;9;9;3;2;4;4;4;1;4;4;0;0;1;4;1;4;0;0;1;0;1;0;0;0;0;0;1;2;3;2;3;2;3;2;1;1;1;0;1;4;1;4;99;1;Freedom;;;1;9996;9996;3;3;1;1;1;4;2;2;4;2;99;99;99;99;3;4;5;5;5;1;2;0;0;0;1;0;3;2;2;3;0;2;0;3;0;3;5;0;2;0;0;3;3;3;3;3;3;0;3;3;3;9;2;0;0;0;0;0;0;0;9;0;0;4;7;7;7;7;1;0;1;0;7;7;7;7;7;7;7;7;;2;2;3;;33;High cost of living;9996;;3;0;4;1;1;1;1;2;3;4;4;3;3;2;3;1;1;1;9;4;3;3;3;4;3;1;99;99;99;99;0;1;1;2;4;4;2;;0;7;7;7;7;7;0;;9996;;2;2;4;4;3;9;9;1;;3;3;3;5;5;3;99;;99;99;1;1;1;1;3;0;9997;;1;1;1;1;4;0;1;1;5;1;7;4;3;18;;6;1580;;8;4:36:00 PM;76;1;4;;5;;1;8;1;0;0;0;0;0;0;1;1;1;1;1;1;TUN11;24;1;2;5;;48;;3;1.0057812;1.01;0;0;0;0;1;0;0;0;1;0;11109022;3;Délégation de Cité Ettadhamen;36.836418;10.10387;ADM2;6295630|6255146|TN|38|11109022;Earth|Africa|Tunisia|Gouvernorat de l’Ariana|Délégation de Cité Ettadhamen;1;1
